,Date,User,Tweet
35,2022-08-10 07:35:02+00:00,vamosvivalavida,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
36,2022-08-10 07:34:42+00:00,SulianaNgah,Ayo vaksinasi agar Tanah Papua terbebas dari belenggu varian baru Covid-19 yang bernama Omicron BA.4 dan BA.5. #AyoVaksinCovid19 https://t.co/CvPpKbzKY3
37,2022-08-10 07:33:10+00:00,bgDG_Stream,RT @yo2thok: Update❗️ Denmark MENGAKHIRI SEMUA vaksinasi Covid untuk siapa pun yang berusia di bawah 18 tahun: “anak-anak dan remaja sangat…
38,2022-08-10 07:29:30+00:00,jumaallaa,@IndonesiaSehatt vaksinasi dan prokes adalah kunci dari melawan covid 19
39,2022-08-10 07:19:23+00:00,Octafians22,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
40,2022-08-10 07:19:18+00:00,kerjacerdas,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
41,2022-08-10 07:19:17+00:00,stream_wheel,RT @yo2thok: Update❗️ Denmark MENGAKHIRI SEMUA vaksinasi Covid untuk siapa pun yang berusia di bawah 18 tahun: “anak-anak dan remaja sangat…
42,2022-08-10 07:17:22+00:00,Blooming_Meadow,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
43,2022-08-10 07:16:58+00:00,khandamu69,"RT @frenkyf1: Mari kita dukung perjuangan @MprAldo dkk ,hilangkan diskriminasi .

Pers Release: Gugatan melawan Presiden, Ketua Satgas Covi…"
44,2022-08-10 07:15:12+00:00,alvinrio_1501,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
45,2022-08-10 07:13:22+00:00,pelaritangguh,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
46,2022-08-10 07:06:48+00:00,BnbLenny,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
47,2022-08-10 07:04:05+00:00,Pipelpawer165,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
48,2022-08-10 07:03:54+00:00,asari_dahlan,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
49,2022-08-10 07:01:13+00:00,2Metan,RT @yo2thok: Update❗️ Denmark MENGAKHIRI SEMUA vaksinasi Covid untuk siapa pun yang berusia di bawah 18 tahun: “anak-anak dan remaja sangat…
50,2022-08-10 06:59:04+00:00,HSangasanga,"Percepatan Vaksinasi Covid-19 
Polsek Sangasanga Monitoring Vaksinasi COVID-19, Guna Pemenuhan Kesehatan Bagi Masyarakat Sekitar Serta Yang Melintas Di Jalan Begitu Sangat Antusias Di Kec. Sangasanga
•
#poldakaltim #divisihumaspolri
#polreskukar #puskesmassangasanga https://t.co/l2Y20IFoPV"
51,2022-08-10 06:57:08+00:00,elizabethlisa76,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
